Hour,Price,Solar,Action,SOC
0,0,0.0,OFF-GRID: USE BATTERY,41.7
1,0,0.0,OFF-GRID: USE BATTERY,33.3
2,0,0.0,OFF-GRID: USE BATTERY,25.0
3,0,0.0,OFF-GRID: USE BATTERY,16.7
4,0,0.0,OFF-GRID: USE BATTERY,8.3
5,0,2.0,OFF-GRID: DIESEL GEN START,8.3
6,0,15.0,OFF-GRID: DIESEL GEN START,8.3
7,0,40.0,OFF-GRID: STORE SOLAR,13.3
8,0,65.0,OFF-GRID: STORE SOLAR,26.7
9,0,85.0,OFF-GRID: STORE SOLAR,46.7
10,0,95.0,OFF-GRID: STORE SOLAR,70.0
11,0,100.0,OFF-GRID: STORE SOLAR,95.0
12,0,98.0,OFF-GRID: STORE SOLAR,100.0
13,0,88.0,OFF-GRID: STORE SOLAR,100.0
14,0,70.0,OFF-GRID: STORE SOLAR,100.0
15,0,45.0,OFF-GRID: STORE SOLAR,100.0
16,0,20.0,OFF-GRID: USE BATTERY,98.3
17,0,5.0,OFF-GRID: USE BATTERY,91.7
18,0,0.0,OFF-GRID: USE BATTERY,83.3
19,0,0.0,OFF-GRID: USE BATTERY,75.0
20,0,0.0,OFF-GRID: USE BATTERY,66.7
21,0,0.0,OFF-GRID: USE BATTERY,58.3
22,0,0.0,OFF-GRID: USE BATTERY,50.0
23,0,0.0,OFF-GRID: USE BATTERY,41.7
