Hour,Price,Solar,Action,SOC
0,2.5,0.0,CHARGE FROM GRID,60.0
1,2.2,0.0,CHARGE FROM GRID,70.0
2,2.1,0.0,CHARGE FROM GRID,80.0
3,2.0,0.0,CHARGE FROM GRID,90.0
4,2.1,0.0,BUY FROM GRID,90.0
5,2.8,2.0,BUY FROM GRID,90.0
6,4.5,15.0,BUY FROM GRID,90.0
7,6.2,40.0,BUY FROM GRID,90.0
8,7.5,65.0,STORE SOLAR,95.0
9,6.8,85.0,SELL TO GRID,95.0
10,5.5,95.0,SELL TO GRID,95.0
11,5.0,100.0,SELL TO GRID,95.0
12,4.8,98.0,SELL TO GRID,95.0
13,4.5,88.0,SELL TO GRID,95.0
14,4.2,70.0,SELL TO GRID,95.0
15,5.0,45.0,BUY FROM GRID,95.0
16,7.5,20.0,BUY FROM GRID,95.0
17,9.2,5.0,DISCHARGE BATTERY,80.0
18,11.5,0.0,DISCHARGE BATTERY,63.3
19,10.5,0.0,DISCHARGE BATTERY,46.7
20,8.5,0.0,DISCHARGE BATTERY,30.0
21,6.0,0.0,BUY FROM GRID,30.0
22,4.5,0.0,BUY FROM GRID,30.0
23,3.5,0.0,BUY FROM GRID,30.0
