Hour,Price,Solar,Action,SOC
0,2.5,0.0,CHARGE FROM GRID,60.0
1,2.2,0.0,CHARGE FROM GRID,70.0
2,2.1,0.0,CHARGE FROM GRID,80.0
3,2.0,0.0,CHARGE FROM GRID,90.0
4,2.1,0.0,BUY FROM GRID,90.0
5,2.8,0.4,BUY FROM GRID,90.0
6,4.5,3.0,BUY FROM GRID,90.0
7,6.2,8.0,BUY FROM GRID,90.0
8,7.5,13.0,BUY FROM GRID,90.0
9,6.8,17.0,BUY FROM GRID,90.0
10,5.5,19.0,BUY FROM GRID,90.0
11,5.0,20.0,BUY FROM GRID,90.0
12,4.8,19.6,BUY FROM GRID,90.0
13,4.5,17.6,BUY FROM GRID,90.0
14,4.2,14.0,BUY FROM GRID,90.0
15,5.0,9.0,BUY FROM GRID,90.0
16,7.5,4.0,BUY FROM GRID,90.0
17,9.2,1.0,DISCHARGE BATTERY,68.7
18,11.5,0.0,DISCHARGE BATTERY,47.0
19,10.5,0.0,DISCHARGE BATTERY,25.3
20,8.5,0.0,DISCHARGE BATTERY,3.7
21,6.0,0.0,BUY FROM GRID,3.7
22,4.5,0.0,BUY FROM GRID,3.7
23,3.5,0.0,BUY FROM GRID,3.7
